trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
283,control,22.0,10,1,1023.8399505615234,1023.8382816314697,899,1
284,control,23.0,14,1,725.1958847045898,725.1949310302734,1256,1
285,control,24.0,13,1,922.2421646118164,922.2390651702881,1180,1
286,control,25.0,13,1,626.2519359588623,626.248836517334,1328,1
287,control,26.0,10,1,558.6678981781006,558.6659908294678,1496,1
288,control,27.0,13,1,658.470869064331,658.4680080413818,1325,1
289,control,28.0,24,1,824.5601654052734,824.5561122894287,828,1
290,control,5.0,7,1,98.41108322143555,559.6261024475098,815,1
291,control,6.0,7,1,98.68693351745605,459.63001251220703,1010,1
292,control,7.0,7,1,197.62706756591797,821.1979866027832,1036,1
293,control,8.0,7,1,528.0098915100098,527.9991626739502,936,1
294,control,9.0,7,1,728.9619445800781,728.9600372314453,903,1
295,control,10.0,7,1,535.1810455322266,535.1788997650146,1068,1
296,control,11.0,7,1,560.9800815582275,560.9772205352783,976,1
297,control,12.0,7,1,567.68798828125,567.6860809326172,1093,1
298,control,13.0,7,1,666.1810874938965,666.1748886108398,1225,1
299,control,14.0,7,1,527.79221534729,527.7900695800781,1272,1
300,control,15.0,7,1,626.5599727630615,626.5478134155273,1410,1
301,control,16.0,7,1,534.1591835021973,534.156084060669,1070,1
302,control,17.0,7,1,650.4702568054199,650.468111038208,1262,1
303,control,18.0,7,0,1026.8559455871582,1026.8542766571045,1276,1
304,control,19.0,14,1,559.6621036529541,559.6568584442139,1068,1
305,control,20.0,7,1,625.1709461212158,625.1649856567383,870,1
306,control,21.0,7,1,524.0828990936279,524.0809917449951,1065,1
307,control,22.0,7,1,1120.9239959716797,1120.9211349487305,1368,1
308,control,23.0,14,1,527.7049541473389,527.7020931243896,817,1
309,control,24.0,13,1,424.33691024780273,424.3357181549072,1412,1
310,control,25.0,13,1,733.2768440246582,733.2737445831299,1036,1
311,control,26.0,7,0,722.4512100219727,722.4471569061279,821,1
312,control,27.0,13,1,553.4262657165527,553.4250736236572,1154,1
313,control,28.0,23,0,724.9951362609863,724.9908447265625,836,1
314,control,5.0,7,1,66.18189811706543,533.9429378509521,837,1
315,control,6.0,7,1,133.32200050354004,462.6901149749756,1188,1
316,control,7.0,7,1,167.7381992340088,726.4461517333984,852,1
317,control,8.0,7,1,101.72009468078613,569.3039894104004,1394,1
318,control,9.0,7,1,556.7460060119629,556.7429065704346,941,1
319,control,10.0,7,1,572.4349021911621,572.4327564239502,1313,1
320,control,11.0,7,1,560.0950717926025,560.0931644439697,1270,1
321,control,12.0,7,1,533.898115158081,533.8950157165527,1167,1
322,control,13.0,7,1,665.3270721435547,665.3249263763428,821,1
323,control,14.0,7,1,430.46092987060547,430.45616149902344,892,1
324,control,15.0,7,1,568.3839321136475,568.3808326721191,1103,1
325,control,16.0,7,1,1385.0798606872559,1385.0769996643066,1177,1
326,control,17.0,7,1,824.3839740753174,824.3799209594727,885,1
327,control,18.0,10,1,624.0739822387695,624.0720748901367,1230,1
328,control,19.0,14,1,559.8340034484863,559.8301887512207,1321,1
329,control,20.0,7,0,658.9500904083252,658.9479446411133,1416,1
330,control,21.0,7,1,728.3129692077637,728.308916091919,963,1
331,control,22.0,7,1,624.5958805084229,624.59397315979,1433,1
332,control,23.0,13,1,559.8440170288086,559.8418712615967,963,1
333,control,24.0,11,1,727.1637916564941,727.1590232849121,1190,1
334,control,25.0,11,1,527.2257328033447,527.224063873291,1103,1
335,control,26.0,10,1,828.5858631134033,828.5841941833496,1205,1
336,control,27.0,11,1,730.679988861084,730.6759357452393,1086,1
337,control,28.0,24,1,666.8350696563721,666.8329238891602,1423,1
338,control,5.0,4,1,100.44169425964355,460.0708484649658,1348,1
339,control,6.0,4,1,100.62384605407715,757.1780681610107,983,1
340,control,7.0,4,1,99.26390647888184,558.5331916809082,920,1
341,control,8.0,4,1,98.9370346069336,565.2341842651367,1400,1
342,control,9.0,4,1,825.2899646759033,825.286865234375,1210,1
343,control,10.0,4,1,821.7861652374268,821.7830657958984,1028,1
344,control,11.0,4,1,819.4522857666016,819.4491863250732,1460,1
345,control,12.0,4,1,616.0919666290283,616.0910129547119,989,1
346,control,13.0,4,1,822.580099105835,822.5719928741455,1211,1
347,control,14.0,4,0,660.0532531738281,660.0520610809326,1349,0
348,control,14.0,4,0,1386.2850666046143,1386.281967163086,1135,1
349,control,15.0,4,0,825.3839015960693,825.3800868988037,995,1
350,control,16.0,4,1,735.7439994812012,735.7399463653564,848,1
351,control,17.0,4,1,758.4867477416992,758.4850788116455,1019,1
352,control,18.0,10,0,665.1692390441895,665.1649475097656,1397,1
353,control,19.0,13,1,724.250078201294,724.2481708526611,1362,1
